Product,Target,Sold,Avg Price,Achievement (%),Value,Month,Governorate
RECEPTAL,60000.0,496.0,360.0,0.83,178560.0,January,Behaira
RECEPTAL50,4000.0,20.0,1600.0,0.5,32000.0,January,Behaira
BYKAHEBAR,11000.0,106.0,1800.0,0.96,190800.0,January,Behaira
INVEMOX,9000.0,5.0,350.0,0.06,1750.0,January,Behaira
RIKATRON,1800.0,30.0,270.0,1.67,8100.0,January,Behaira
GALAPAN,1750.0,20.0,850.0,1.14,17000.0,January,Behaira
INTERMICIN,4400.0,590.0,310.0,13.41,182900.0,January,Behaira
FLOXMARB,3060.0,160.0,500.0,5.23,80000.0,January,Behaira
EPIXIN 50ML,5000.0,269.0,120.0,5.38,32280.0,January,Behaira
EPIXIN 100ML,2800.0,0.0,,0.0,0.0,January,Behaira
Antox9,1400.0,0.0,,0.0,0.0,January,Behaira
lytomix,5000.0,280.0,29.0,5.6,8120.0,January,Behaira
superactivite1,3600.0,87.0,45.0,2.42,3915.0,January,Behaira
superactivite 5,0.0,130.0,200.0,0.0,26000.0,January,Behaira
EMAPROTAZOAL,0.0,67.0,190.0,0.0,12730.0,January,Behaira
MULTIADEKA,0.0,525.0,14.0,0.0,7350.0,January,Behaira
MINERALO,0.0,100.0,14.0,0.0,1400.0,January,Behaira
EPICO CARB,0.0,0.0,38.0,0.0,0.0,January,Behaira
MASTIKEL,0.0,20.0,85.0,0.0,1700.0,January,Behaira
RECEPTAL,60000.0,755.0,360.0,1.26,271800.0,February,Behaira
RECEPTAL50,4000.0,163.0,1600.0,4.08,260800.0,February,Behaira
BYKAHEBAR,11000.0,111.0,1800.0,1.01,199800.0,February,Behaira
INVEMOX,9000.0,13.0,350.0,0.14,4550.0,February,Behaira
RIKATRON,1800.0,30.0,270.0,1.67,8100.0,February,Behaira
GALAPAN,1750.0,20.0,850.0,1.14,17000.0,February,Behaira
INTERMICIN,4400.0,699.0,310.0,15.89,216690.0,February,Behaira
FLOXMARB,3060.0,312.0,500.0,10.2,156000.0,February,Behaira
EPIXIN 50ML,5000.0,523.0,120.0,10.46,62760.0,February,Behaira
EPIXIN 100ML,2800.0,0.0,0.0,0.0,0.0,February,Behaira
Antox9,1400.0,0.0,0.0,0.0,0.0,February,Behaira
lytomix,5000.0,370.0,29.0,7.4,10730.0,February,Behaira
superactivite1,3600.0,174.0,45.0,4.83,7830.0,February,Behaira
superactivite 5,0.0,178.0,200.0,0.0,35600.0,February,Behaira
EMAPROTAZOAL,0.0,72.0,190.0,0.0,13680.0,February,Behaira
MULTIADEKA,0.0,2181.0,14.0,0.0,30534.0,February,Behaira
MINERALO,0.0,214.0,14.0,0.0,2996.0,February,Behaira
EPICO CARB,15500.0,289.0,38.0,1.86,10982.0,February,Behaira
MASTIKEL,12000.0,100.0,85.0,0.83,8500.0,February,Behaira
